Time,Device name,Chip Time(),Angle X(°)
 12:00:03.240,ea:e4:fd:d7:dc:2a, 2015-01-01 00:14:58.900, -1.181,
 12:00:03.275,cd:75:20:e1:ef:ef, 2015-01-01 00:15:00.505, -0.198,
 12:00:03.331,ea:e4:fd:d7:dc:2a, 2015-01-01 00:14:58.900, -1.494,
 12:00:03.365,cd:75:20:e1:ef:ef, 2015-01-01 00:15:00.505, 0.049,
 12:00:03.451,ea:e4:fd:d7:dc:2a, 2015-01-01 00:14:58.900, -1.56,
 12:00:03.485,cd:75:20:e1:ef:ef, 2015-01-01 00:15:00.505, 0.439,
 12:00:03.511,ea:e4:fd:d7:dc:2a, 2015-01-01 00:14:58.900, -1.555,
 12:00:03.577,cd:75:20:e1:ef:ef, 2015-01-01 00:15:00.505, 0.797,
 12:00:03.630,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:01.280, -1.522,
 12:00:03.695,cd:75:20:e1:ef:ef, 2015-01-01 00:15:03.060, 1.137,
 12:00:03.721,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:01.280, -1.912,
 12:00:03.786,cd:75:20:e1:ef:ef, 2015-01-01 00:15:03.060, 1.406,
 12:00:03.841,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:01.280, -2.109,
 12:00:03.876,cd:75:20:e1:ef:ef, 2015-01-01 00:15:03.060, 1.241,
 12:00:03.931,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:01.280, -2.241,
 12:00:03.996,cd:75:20:e1:ef:ef, 2015-01-01 00:15:03.060, 1.219,
 12:00:04.050,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:01.665, -2.582,
 12:00:04.086,cd:75:20:e1:ef:ef, 2015-01-01 00:15:03.060, 1.17,
 12:00:04.111,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:01.665, -2.84,
 12:00:04.175,cd:75:20:e1:ef:ef, 2015-01-01 00:15:03.480, 0.884,
 12:00:04.231,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:01.665, -3.384,
 12:00:04.295,cd:75:20:e1:ef:ef, 2015-01-01 00:15:03.480, 0.786,
 12:00:04.351,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:01.665, -3.697,
 12:00:04.386,cd:75:20:e1:ef:ef, 2015-01-01 00:15:03.480, 0.791,
 12:00:04.442,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:01.665, -3.455,
 12:00:04.507,cd:75:20:e1:ef:ef, 2015-01-01 00:15:03.865, 0.797,
 12:00:04.532,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:02.110, -3.631,
 12:00:04.567,cd:75:20:e1:ef:ef, 2015-01-01 00:15:03.865, 0.802,
 12:00:04.651,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:02.110, -4.444,
 12:00:04.686,cd:75:20:e1:ef:ef, 2015-01-01 00:15:03.865, 0.791,
 12:00:04.712,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:02.110, -5.652,
 12:00:04.777,cd:75:20:e1:ef:ef, 2015-01-01 00:15:03.865, 0.352,
 12:00:04.831,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:02.110, -4.713,
 12:00:04.896,cd:75:20:e1:ef:ef, 2015-01-01 00:15:04.280, -0.659,
 12:00:04.920,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:02.500, -3.972,
 12:00:04.986,cd:75:20:e1:ef:ef, 2015-01-01 00:15:04.280, -1.346,
 12:00:05.041,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:02.500, -3.702,
 12:00:05.106,cd:75:20:e1:ef:ef, 2015-01-01 00:15:04.280, -1.274,
 12:00:05.131,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:02.500, -3.4,
 12:00:05.195,cd:75:20:e1:ef:ef, 2015-01-01 00:15:04.280, -0.835,
 12:00:05.281,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:02.885, -2.01,
 12:00:05.286,cd:75:20:e1:ef:ef, 2015-01-01 00:15:04.280, 0.258,
 12:00:05.340,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:02.885, -1.434,
 12:00:05.375,cd:75:20:e1:ef:ef, 2015-01-01 00:15:04.730, 2.994,
 12:00:05.461,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:02.885, -0.159,
 12:00:05.496,cd:75:20:e1:ef:ef, 2015-01-01 00:15:04.730, 3.109,
 12:00:05.521,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:02.885, -0.126,
 12:00:05.587,cd:75:20:e1:ef:ef, 2015-01-01 00:15:04.730, 2.043,
 12:00:05.641,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:02.885, -1.285,
 12:00:05.731,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:03.305, -1.631,
 12:00:05.737,cd:75:20:e1:ef:ef, 2015-01-01 00:15:04.730, 0.45,
 12:00:05.826,cd:75:20:e1:ef:ef, 2015-01-01 00:15:04.730, -0.736,
 12:00:05.851,ea:e4:fd:d7:dc:2a, 2015-01-01 00:15:03.305, -2.153,
 12:00:05.915,cd:75:20:e1:ef:ef, 2015-01-01 00:15:05.145, -0.829,
